Depth,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCELM,RT,PHIF,SAND_FLAG,SW,VSH
3391.7,8.6976,0.0657,72.4177,122.4614,63.1664,0.1563,6.371,1.7645,1.6102,2.5211,28.0742,1.7789,1.8225,0.0736,0,1,0.4012
3391.8,8.6976,0.0592,72.7225,121.9502,61.1707,0.1555,6.321,1.7419,1.6018,2.51,28.0879,1.7491,1.7928,0.08,0,1,0.3874
3391.9,8.6976,0.0563,73.0979,123.2265,59.7938,0.1553,6.2899,1.6787,1.5858,2.5081,28.0895,1.7497,1.8694,0.0811,0,1,0.378
3392,8.6976,0.0589,73.4522,124.8554,57.326,0.1555,6.2705,1.6348,1.5715,2.5119,28.0911,1.7211,1.8491,0.0789,0,1,0.3609
3392.1,8.6976,0.0643,73.7404,126.5856,55.4076,0.1557,6.2398,1.5968,1.563,2.514,28.0922,1.668,1.7575,0.0777,0,1,0.3476
3392.2,8.698,0.0679,74.0119,128.1222,55.9299,0.1567,6.2013,1.5449,1.5435,2.5095,28.0089,1.6041,1.6393,0.0802,0,1,0.3513
3392.3,8.7483,0.0669,74.2845,129.4788,54.0934,0.1562,6.1802,1.4925,1.5203,2.4986,27.9257,1.5325,1.4871,0.0865,0,1,0.3386
3392.4,8.7479,0.0633,74.5692,130.4999,52.9147,0.162,6.1925,1.4819,1.5159,2.4868,27.8434,1.4849,1.3942,0.0932,0,1,0.3305
3392.5,8.6976,0.0605,74.8091,131.1106,51.4489,0.1728,6.219,1.4382,1.4903,2.478,27.9255,1.4669,1.4253,0.0983,0,1,0.3203
3392.6,8.6976,0.0612,75.0129,131.5477,51.4945,0.179,6.2418,1.4009,1.4714,2.4725,28.0076,1.4743,1.4501,0.1014,1,1,0.3206
